BcProductId,Current Stock,Large Image URL,Medium Image URL,Product Description,Product Name,Product Price,Product URL,Retail Price,Shipping Weight,Thumb Image URL,Brand,Category,Gender,Manufacturer,SKU,Country of Origin,UPC,Type,isNewArrival,Discount Off Retail,Categories
39065,100,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/39065/images/282207/CH024160__44240.1758601987.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/39065/images/282207/CH024160__44240.1758601987.386.513.jpg?c=1,212 3.4 EAU DE TOILETTE SPRAY FOR MEN.,212 3.4 EAU DE TOILETTE SPRAY FOR MEN.,53.35,https://www.scentsworld.com/ch024160/,115,13.6,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/39065/images/282207/CH024160__44240.1758601987.220.290.jpg?c=1,CAROLINA HERRERA,Shop All,Men,,CH024160,SPAIN,8411061043868,product,false,0.5360869565217391,"Shop All, Mens, Fragrance"
39159,78,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/39159/images/282208/CH02K01P__30461.1758601996.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/39159/images/282208/CH02K01P__30461.1758601996.386.513.jpg?c=1,212 TESTER 3.4 EAU DE TOILETTE SPRAY FOR MEN,212 TESTER 3.4 EAU DE TOILETTE SPRAY FOR MEN,41.25,https://www.scentsworld.com/ch02k01p/,70,13.6,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/39159/images/282208/CH02K01P__30461.1758601996.220.290.jpg?c=1,CAROLINA HERRERA,Shop All,Men,,CH02K01P,SPAIN,8411061043882,product,false,0.4107142857142857,"Shop All, Mens, Testers"
39373,100,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/39373/images/282213/CH65081673__07289.1758602048.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/39373/images/282213/CH65081673__07289.1758602048.386.513.jpg?c=1,212 VIP ROSE 1.7 EAU DE PARFUM SPRAY FOR WOMEN,212 VIP ROSE 1.7 EAU DE PARFUM SPRAY FOR WOMEN,42.9,https://www.scentsworld.com/ch65081673/,76,11.84,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/39373/images/282213/CH65081673__07289.1758602048.220.290.jpg?c=1,CAROLINA HERRERA,Shop All,Women,,CH65081673,SPAIN,8411061777183,product,false,0.43552631578947365,"Shop All, Womens, Specials, Fragrance"
47368,100,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/47368/images/282214/CH6508218002__71441.1758602059.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/47368/images/282214/CH6508218002__71441.1758602059.386.513.jpg?c=1,212 VIP ROSE 5 ML EAU DE PARFUM MINI FOR WOMEN,212 VIP ROSE 5 ML EAU DE PARFUM MINI FOR WOMEN,9.9,https://www.scentsworld.com/ch6508218002/,35,0.96,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/47368/images/282214/CH6508218002__71441.1758602059.220.290.jpg?c=1,CAROLINA HERRERA,Shop All,WOMEN,,CH6508218002,SPAIN,8411061778234,product,false,0.7171428571428571,"Shop All, Womens, Specials, Mini, Fragrance"
47369,100,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/47369/images/282265/CH65198566__54971.1758602571.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/47369/images/282265/CH65198566__54971.1758602571.386.513.jpg?c=1,212 VIP ROSE ELIXIR 5 ML EAU DE PARFUM ELIXIR MINI FOR WOMEN,212 VIP ROSE ELIXIR 5 ML EAU DE PARFUM ELIXIR MINI FOR WOMEN,9.9,https://www.scentsworld.com/ch65198566/,35,0.96,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/47369/images/282265/CH65198566__54971.1758602571.220.290.jpg?c=1,CAROLINA HERRERA,Shop All,WOMEN,,CH65198566,SPAIN,8411061084755,product,false,0.7171428571428571,"Shop All, Womens, Specials, Mini, Fragrance"
47558,98,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/47558/images/282215/CH65082186TSTR__97556.1758602070.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/47558/images/282215/CH65082186TSTR__97556.1758602070.386.513.jpg?c=1,212 VIP ROSE TESTER 4.2 EAU DE PARFUM SPRAY FOR WOMEN,212 VIP ROSE TESTER 4.2 EAU DE PARFUM SPRAY FOR WOMEN,52.8,https://www.scentsworld.com/ch65082186tstr/,175,17.12,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/47558/images/282215/CH65082186TSTR__97556.1758602070.220.290.jpg?c=1,CAROLINA HERRERA,Shop All,WOMEN,,CH65082186TSTR,SPAIN,8411061778298,product,false,0.6982857142857143,"Shop All, Womens, Testers, Fragrance"
47557,100,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/47557/images/282216/CH65082188TSTR__19367.1758602079.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/47557/images/282216/CH65082188TSTR__19367.1758602079.386.513.jpg?c=1,212 VIP TESTER 4.2 EAU DE PARFUM SPRAY FOR WOMEN,212 VIP TESTER 4.2 EAU DE PARFUM SPRAY FOR WOMEN,49.5,https://www.scentsworld.com/ch65082188tstr/,175,17.12,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/47557/images/282216/CH65082188TSTR__19367.1758602079.220.290.jpg?c=1,CAROLINA HERRERA,Shop All,WOMEN,,CH65082188TSTR,SPAIN,8411061778297,product,false,0.7171428571428571,"Shop All, Womens, Testers, Fragrance"
8053,17,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/8053/images/283240/PE2552__30787.1758612194.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/8053/images/283240/PE2552__30787.1758612194.386.513.jpg?c=1,360 3.4 EAU DE TOILETTE SPRAY FOR WOMEN,360 3.4 EAU DE TOILETTE SPRAY FOR WOMEN,22,https://www.scentsworld.com/pe2552/,65,13.28,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/8053/images/283240/PE2552__30787.1758612194.220.290.jpg?c=1,PERRY ELLIS,Shop All,Women,,PE2552,USA,844061000599,product,false,0.6615384615384615,"Shop All, Womens, Fragrance"
7864,1,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/7864/images/283239/PE19.3765.77__26221.1758612185.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/7864/images/283239/PE19.3765.77__26221.1758612185.386.513.jpg?c=1,360 6.8 EAU DE TOILETTE SPRAY FOR MEN,360 6.8 EAU DE TOILETTE SPRAY FOR MEN,28.05,https://www.scentsworld.com/pe19-3765-77/,65,20.32,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/7864/images/283239/PE19.3765.77__26221.1758612185.220.290.jpg?c=1,PERRY ELLIS,Shop All,Men,,PE19.3765.77,USA,844061004788,product,false,0.5684615384615385,"Shop All, Mens, Fragrance"
7570,4,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/7570/images/283238/PE12.3899.77__85280.1758612175.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/7570/images/283238/PE12.3899.77__85280.1758612175.386.513.jpg?c=1,360 RED 6.8 EAU DE TOILETTE SPRAY FOR MEN,360 RED 6.8 EAU DE TOILETTE SPRAY FOR MEN,30.25,https://www.scentsworld.com/pe12-3899-77/,70,20.16,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/7570/images/283238/PE12.3899.77__85280.1758612175.220.290.jpg?c=1,PERRY ELLIS,Shop All,Men,,PE12.3899.77,USA,844061002302,product,false,0.5678571428571428,"Shop All, Mens, Fragrance"
